class,filename,height,width,xmax,xmin,ymax,ymin
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-02 10-00-00-05_cam6.jpg,1080,1920,33,9,434,388
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-02 10-00-00-05_cam6.jpg,1080,1920,1408,1376,475,433
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-02 10-00-00-05_cam6.jpg,1080,1920,1460,1424,801,763
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-02 10-00-00-05_cam6.jpg,1080,1920,1384,1359,1020,990
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-02 10-00-00-05_cam6.jpg,1080,1920,321,302,304,284
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-02 10-00-00-05_cam6.jpg,1080,1920,802,751,1080,1035
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-02 10-00-00-05_cam6.jpg,1080,1920,161,129,932,896
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-02 10-00-00-05_cam6.jpg,1080,1920,1253,1203,728,671
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-02 10-00-00-05_cam6.jpg,1080,1920,122,88,770,729
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-07 14-45-00-05_cam1.jpg,1080,1920,936,864,714,612
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-07 14-45-00-05_cam1.jpg,1080,1920,182,151,349,294
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-07 14-45-00-05_cam1.jpg,1080,1920,1021,969,1046,1012
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-07 14-45-00-05_cam1.jpg,1080,1920,1627,1565,194,139
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-07 14-45-00-05_cam1.jpg,1080,1920,1735,1691,684,604
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-07 14-45-00-05_cam1.jpg,1080,1920,96,47,913,822
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-07 14-45-00-05_cam1.jpg,1080,1920,409,374,996,954
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-07 14-45-00-05_cam1.jpg,1080,1920,1496,1456,815,773
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-07 14-45-00-05_cam1.jpg,1080,1920,1699,1630,953,887
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-07 14-45-00-05_cam1.jpg,1080,1920,1089,1041,922,837
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-07 14-45-00-05_cam1.jpg,1080,1920,59,36,760,724
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-07 14-45-00-05_cam1.jpg,1080,1920,1749,1697,460,408
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-07 14-45-00-05_cam1.jpg,1080,1920,1605,1575,859,807
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-07 14-45-00-05_cam1.jpg,1080,1920,284,256,510,481
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-07 14-45-00-05_cam1.jpg,1080,1920,1522,1487,742,682
plastic,./river_data/river_cam_images/Grogol_Location_1_2018-05-07 14-45-00-05_cam1.jpg,1080,1920,1875,1840,223,189
